"Name","Key","Type","Custom Type"
"URL/Site Address","customfield_16109","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Header","customfield_16108","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Response","customfield_16107","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Request","customfield_16106","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Everest Link","customfield_18525","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"Jira Project Type","customfield_19856","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Hardware to be Replaced","customfield_20835","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"New Hire Hardware Kit","customfield_20836","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Type of Hardware Replacement","customfield_20834","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Integration Approach","customfield_20272","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Requestor's Manager","customfield_15922","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"Department/Business Area (AHS)","customfield_11314","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Recruiter","customfield_14823","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Has the application been patched to address security?","customfield_15912","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Required Artifacts to meet the definition of ready (DOR)","customfield_14824","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Type of Exception","customfield_15919","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Manager (Text)","customfield_20024","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Direct reports","customfield_20025","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Access rights based upon role","customfield_15910","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Service Trades","customfield_14822","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"Has your custom code (e.g., Lambda, Go-Lang) been scanned?","customfield_15911","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Website","customfield_14814","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Will your service be accessed over the Public Internet directly (or Internal)?","customfield_15903","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Contractor Manager","customfield_14815","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Sensitive classification for the data","customfield_15901","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Phone number","customfield_14813","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Is your application front ended by Akamai?","customfield_15907","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Request Date","customfield_11307","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"Contrel Rep","customfield_14816","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Vendor ID","customfield_14817","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Kafka Topic Name","customfield_21106","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Channels and Components: What elements are required, must be included?","customfield_17092","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Snowflake reactivate","customfield_21587","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Technical Priority","customfield_21341","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Number of Techs","customfield_14810","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Affected services","customfield_15900","array","com.atlassian.jira.plugins.service-entity:service-entity-field-cftype"
"Business Value Description","customfield_11301","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Address","customfield_14804","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Expedite","customfield_13712","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Related to a PI Objective","customfield_13715","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Company","customfield_14802","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"JIRA Epic (Feature) Type","customfield_13714","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Service Market (Archive)","customfield_14808","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Unplanned Sprint Work","customfield_13716","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Email Address","customfield_14805","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Notes","customfield_13718","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Business Years of Experience","customfield_14809","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Reference ID - test","customfield_17083","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Time in Current Status","customfield_17082","any","com.atlassian.jira.ext.charting:timeinstatus"
"[CHART] Time in Status","customfield_17074","any","com.atlassian.jira.ext.charting:timeinstatus"
"[CHART] Date of First Response (migrated)","customfield_17073","datetime","com.atlassian.jira.ext.charting:firstresponsedate"
"KMS Department/Group","customfield_18162","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"Blocked Reason","customfield_13711","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Blocked","customfield_13710","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Strategic Theme","customfield_13706","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Tenable Plugin ID","customfield_18397","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Plugin Output","customfield_18398","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Tenable BID","customfield_18399","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"PM Required","customfield_22892","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Tenable Severity","customfield_18394","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Projects","customfield_20472","any","jira.polaris:connection"
"Tenable Source","customfield_18395","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable State","customfield_18396","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Innotas Project - BSC","customfield_12602","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Intake Status","customfield_22883","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Data column / attribute / field","customfield_21308","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What type of training service is needed?","customfield_16194","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What level of Figma access are you requesting?","customfield_17040","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Do you require Keeper access?","customfield_16193","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Keeper Groups","customfield_16199","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Confluence Space Type","customfield_16198","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What equipment is being returned?","customfield_16197","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
